url,job_type,title,date_posted,salary,description,tags
https://www.onlinejobs.ph/jobseekers/job/AI-Video-Creator-Claymation-Style-Supplement-Marketing-1627406,Gig,AI Video Creator (Claymation Style) – Supplement Marketing,2026-04-20 03:13:31,$25,,
https://www.onlinejobs.ph/jobseekers/job/VA-Data-Structuring-Visualization-Miro-Preferred-1627405,Any,VA / Data Structuring & Visualization (Miro Preferred),2026-04-20 03:12:17,$400 per month,,"Data Entry, Data Visualization, Virtual Assistant"
https://www.onlinejobs.ph/jobseekers/job/AI-Editor-1608006,Full Time,AI Editor,2026-04-20 03:10:34,USD 5.00 / HOUR,,
https://www.onlinejobs.ph/jobseekers/job/Instagram-Manager-1608001,Full Time,Instagram Manager,2026-04-20 03:10:31,USD 2.50 / HOUR,,
https://www.onlinejobs.ph/jobseekers/job/Amazon-sourcer-1627404,Part Time,Amazon sourcer,2026-04-20 03:10:30,$2/h,,"Seller Central, Keepa, Seller Amp SAS"
https://www.onlinejobs.ph/jobseekers/job/E-commerce-Product-Page-Optimization-Specialist-Conversion-Focused-1627403,Any,E-commerce Product Page Optimization Specialist (Conversion-Focused),2026-04-20 03:04:46,$700 per month,,"E-Commerce, Product Analysis, Product Optimization"
https://www.onlinejobs.ph/jobseekers/job/Web-Crawler-designer-24420,Freelance,Web Crawler designer,2026-04-20 03:00:39,depending on experience,,
https://www.onlinejobs.ph/jobseekers/job/Trading-Assistant-1601520,Full Time,Trading Assistant,2026-04-20 02:57:32,400,,
https://www.onlinejobs.ph/jobseekers/job/AI-Reel-Creator-1617554,Full Time,AI Reel Creator,2026-04-20 02:57:32,350,,"Video Content Creation, Video Editing"
https://www.onlinejobs.ph/jobseekers/job/Photo-editing-expert-E-commerce-1627401,Any,Photo editing expert / E-commerce,2026-04-20 02:55:07,$700 per month,,"E-Commerce, Photo Editing"
https://www.onlinejobs.ph/jobseekers/job/Part-Time-Graphic-Designer-1015-hrsweek-1621302,Part Time,Part-Time Graphic Designer (10–15 hrs/week),2026-04-20 02:54:24,450,,"Photoshop, Figma, Social Media Video Editing"
https://www.onlinejobs.ph/jobseekers/job/Claude-Design-Email-Designer-needed-1627396,Part Time,Claude Design Email Designer needed,2026-04-20 02:40:12,400 CAD/Month + BONUS,,"Graphic Design, AI Tools"
https://www.onlinejobs.ph/jobseekers/job/Motion-Designer-Video-Editor-for-YouTube-UI-Based-Explainer-Videos-Clean-SaaS-Style-1627395,Part Time,Motion Designer / Video Editor for YouTube (UI-Based Explainer Videos – Clean SaaS Style),2026-04-20 02:39:24,10,,
https://www.onlinejobs.ph/jobseekers/job/Ethical-Hacker-for-educational-videos-1534337,Part Time,Ethical Hacker (for educational videos),2026-04-20 02:29:43,share your rate,,Cybersecurity
https://www.onlinejobs.ph/jobseekers/job/AI-Expert-Build-Educational-content-1553619,Full Time,AI Expert - Build Educational content,2026-04-20 02:29:43,share your rate,,"Research Writing, AI Tools, Research"
https://www.onlinejobs.ph/jobseekers/job/Fengshui-expert-Interior-Designer-1561422,Gig,Fengshui expert (Interior Designer),2026-04-20 02:29:43,share your rate,,"Architectural Services, Design"
https://www.onlinejobs.ph/jobseekers/job/SEO-Expert-1567631,Part Time,SEO Expert,2026-04-20 02:29:43,share your rate,,"SEO, Content Management, Keyword Research"
https://www.onlinejobs.ph/jobseekers/job/Researcher-Outline-writer-for-Youtube-videos-1599838,Full Time,Researcher & Outline writer for Youtube videos,2026-04-20 02:29:43,share your rate,,"Research Writing, Product Research, Research"
https://www.onlinejobs.ph/jobseekers/job/CRM-System-Builder-Gmail-1625225,Any,CRM System Builder (Gmail),2026-04-20 02:29:43,share your rate,,CRM
https://www.onlinejobs.ph/jobseekers/job/Sales-Representative-Commission-Based-Remote-1627392,Part Time,"Sales Representative (Commission-Based, Remote)",2026-04-20 02:29:01,$339/Month,,"Inbound Sales, Sales Support, Sales"
https://www.onlinejobs.ph/jobseekers/job/VAemail-marketingvideo-editorfamiliar-with-Warriorplusjvzoo-1627391,Full Time,VA/email marketing/video editor/familiar with Warriorplus/jvzoo,2026-04-20 02:28:11,,,"Email Marketing, Video Editing, Virtual Assistant"
https://www.onlinejobs.ph/jobseekers/job/Inbound-Sales-Customer-Support-Phone-Text-1627390,Full Time,Inbound Sales & Customer Support (Phone + Text),2026-04-20 02:25:40,$800-$1200,,"Phone Support, Sales Support, Customer Service"
https://www.onlinejobs.ph/jobseekers/job/Social-Media-Video-Editor-VA-TikTok-Reels-Content-Posting-1627317,Part Time,Social Media Video Editor & VA (TikTok / Reels / Content Posting),2026-04-20 02:12:05,$3.5,,"Social Media Content Creation, Video Content Creation, Social Media Video Editing"
https://www.onlinejobs.ph/jobseekers/job/AI-Video-Creator-Claymation-Style-Supplement-Marketing-1627406,Gig,AI Video Creator (Claymation Style) – Supplement Marketing,2026-04-20 03:13:31,$25,,
https://www.onlinejobs.ph/jobseekers/job/VA-Data-Structuring-Visualization-Miro-Preferred-1627405,Any,VA / Data Structuring & Visualization (Miro Preferred),2026-04-20 03:12:17,$400 per month,,"Data Entry, Data Visualization, Virtual Assistant"
https://www.onlinejobs.ph/jobseekers/job/AI-Editor-1608006,Full Time,AI Editor,2026-04-20 03:10:34,USD 5.00 / HOUR,,
https://www.onlinejobs.ph/jobseekers/job/Instagram-Manager-1608001,Full Time,Instagram Manager,2026-04-20 03:10:31,USD 2.50 / HOUR,,
https://www.onlinejobs.ph/jobseekers/job/Amazon-sourcer-1627404,Part Time,Amazon sourcer,2026-04-20 03:10:30,$2/h,,"Seller Central, Keepa, Seller Amp SAS"
https://www.onlinejobs.ph/jobseekers/job/E-commerce-Product-Page-Optimization-Specialist-Conversion-Focused-1627403,Any,E-commerce Product Page Optimization Specialist (Conversion-Focused),2026-04-20 03:04:46,$700 per month,,"E-Commerce, Product Analysis, Product Optimization"
https://www.onlinejobs.ph/jobseekers/job/Web-Crawler-designer-24420,Freelance,Web Crawler designer,2026-04-20 03:00:39,depending on experience,,
https://www.onlinejobs.ph/jobseekers/job/Trading-Assistant-1601520,Full Time,Trading Assistant,2026-04-20 02:57:32,400,,
https://www.onlinejobs.ph/jobseekers/job/AI-Reel-Creator-1617554,Full Time,AI Reel Creator,2026-04-20 02:57:32,350,,"Video Content Creation, Video Editing"
https://www.onlinejobs.ph/jobseekers/job/Photo-editing-expert-E-commerce-1627401,Any,Photo editing expert / E-commerce,2026-04-20 02:55:07,$700 per month,,"E-Commerce, Photo Editing"
https://www.onlinejobs.ph/jobseekers/job/Part-Time-Graphic-Designer-1015-hrsweek-1621302,Part Time,Part-Time Graphic Designer (10–15 hrs/week),2026-04-20 02:54:24,450,,"Photoshop, Figma, Social Media Video Editing"
https://www.onlinejobs.ph/jobseekers/job/Claude-Design-Email-Designer-needed-1627396,Part Time,Claude Design Email Designer needed,2026-04-20 02:40:12,400 CAD/Month + BONUS,,"Graphic Design, AI Tools"
https://www.onlinejobs.ph/jobseekers/job/Motion-Designer-Video-Editor-for-YouTube-UI-Based-Explainer-Videos-Clean-SaaS-Style-1627395,Part Time,Motion Designer / Video Editor for YouTube (UI-Based Explainer Videos – Clean SaaS Style),2026-04-20 02:39:24,10,,
https://www.onlinejobs.ph/jobseekers/job/Ethical-Hacker-for-educational-videos-1534337,Part Time,Ethical Hacker (for educational videos),2026-04-20 02:29:43,share your rate,,Cybersecurity
https://www.onlinejobs.ph/jobseekers/job/AI-Expert-Build-Educational-content-1553619,Full Time,AI Expert - Build Educational content,2026-04-20 02:29:43,share your rate,,"Research Writing, AI Tools, Research"
https://www.onlinejobs.ph/jobseekers/job/Fengshui-expert-Interior-Designer-1561422,Gig,Fengshui expert (Interior Designer),2026-04-20 02:29:43,share your rate,,"Architectural Services, Design"
https://www.onlinejobs.ph/jobseekers/job/SEO-Expert-1567631,Part Time,SEO Expert,2026-04-20 02:29:43,share your rate,,"SEO, Content Management, Keyword Research"
https://www.onlinejobs.ph/jobseekers/job/Researcher-Outline-writer-for-Youtube-videos-1599838,Full Time,Researcher & Outline writer for Youtube videos,2026-04-20 02:29:43,share your rate,,"Research Writing, Product Research, Research"
https://www.onlinejobs.ph/jobseekers/job/CRM-System-Builder-Gmail-1625225,Any,CRM System Builder (Gmail),2026-04-20 02:29:43,share your rate,,CRM
https://www.onlinejobs.ph/jobseekers/job/Sales-Representative-Commission-Based-Remote-1627392,Part Time,"Sales Representative (Commission-Based, Remote)",2026-04-20 02:29:01,$339/Month,,"Inbound Sales, Sales Support, Sales"
https://www.onlinejobs.ph/jobseekers/job/VAemail-marketingvideo-editorfamiliar-with-Warriorplusjvzoo-1627391,Full Time,VA/email marketing/video editor/familiar with Warriorplus/jvzoo,2026-04-20 02:28:11,,,"Email Marketing, Video Editing, Virtual Assistant"
https://www.onlinejobs.ph/jobseekers/job/Inbound-Sales-Customer-Support-Phone-Text-1627390,Full Time,Inbound Sales & Customer Support (Phone + Text),2026-04-20 02:25:40,$800-$1200,,"Phone Support, Sales Support, Customer Service"
https://www.onlinejobs.ph/jobseekers/job/Social-Media-Video-Editor-VA-TikTok-Reels-Content-Posting-1627317,Part Time,Social Media Video Editor & VA (TikTok / Reels / Content Posting),2026-04-20 02:12:05,$3.5,,"Social Media Content Creation, Video Content Creation, Social Media Video Editing"
https://www.onlinejobs.ph/jobseekers/job/AI-Video-Creator-Claymation-Style-Supplement-Marketing-1627406,Gig,AI Video Creator (Claymation Style) – Supplement Marketing,2026-04-20 03:13:31,$25,,
https://www.onlinejobs.ph/jobseekers/job/VA-Data-Structuring-Visualization-Miro-Preferred-1627405,Any,VA / Data Structuring & Visualization (Miro Preferred),2026-04-20 03:12:17,$400 per month,,"Data Entry, Data Visualization, Virtual Assistant"
https://www.onlinejobs.ph/jobseekers/job/AI-Editor-1608006,Full Time,AI Editor,2026-04-20 03:10:34,USD 5.00 / HOUR,,
https://www.onlinejobs.ph/jobseekers/job/Instagram-Manager-1608001,Full Time,Instagram Manager,2026-04-20 03:10:31,USD 2.50 / HOUR,,
https://www.onlinejobs.ph/jobseekers/job/Amazon-sourcer-1627404,Part Time,Amazon sourcer,2026-04-20 03:10:30,$2/h,,"Seller Central, Keepa, Seller Amp SAS"
https://www.onlinejobs.ph/jobseekers/job/E-commerce-Product-Page-Optimization-Specialist-Conversion-Focused-1627403,Any,E-commerce Product Page Optimization Specialist (Conversion-Focused),2026-04-20 03:04:46,$700 per month,,"E-Commerce, Product Analysis, Product Optimization"
https://www.onlinejobs.ph/jobseekers/job/Web-Crawler-designer-24420,Freelance,Web Crawler designer,2026-04-20 03:00:39,depending on experience,,
https://www.onlinejobs.ph/jobseekers/job/Trading-Assistant-1601520,Full Time,Trading Assistant,2026-04-20 02:57:32,400,,
https://www.onlinejobs.ph/jobseekers/job/AI-Reel-Creator-1617554,Full Time,AI Reel Creator,2026-04-20 02:57:32,350,,"Video Content Creation, Video Editing"
https://www.onlinejobs.ph/jobseekers/job/Photo-editing-expert-E-commerce-1627401,Any,Photo editing expert / E-commerce,2026-04-20 02:55:07,$700 per month,,"E-Commerce, Photo Editing"
https://www.onlinejobs.ph/jobseekers/job/Part-Time-Graphic-Designer-1015-hrsweek-1621302,Part Time,Part-Time Graphic Designer (10–15 hrs/week),2026-04-20 02:54:24,450,,"Photoshop, Figma, Social Media Video Editing"
https://www.onlinejobs.ph/jobseekers/job/Claude-Design-Email-Designer-needed-1627396,Part Time,Claude Design Email Designer needed,2026-04-20 02:40:12,400 CAD/Month + BONUS,,"Graphic Design, AI Tools"
https://www.onlinejobs.ph/jobseekers/job/Motion-Designer-Video-Editor-for-YouTube-UI-Based-Explainer-Videos-Clean-SaaS-Style-1627395,Part Time,Motion Designer / Video Editor for YouTube (UI-Based Explainer Videos – Clean SaaS Style),2026-04-20 02:39:24,10,,
https://www.onlinejobs.ph/jobseekers/job/Ethical-Hacker-for-educational-videos-1534337,Part Time,Ethical Hacker (for educational videos),2026-04-20 02:29:43,share your rate,,Cybersecurity
https://www.onlinejobs.ph/jobseekers/job/AI-Expert-Build-Educational-content-1553619,Full Time,AI Expert - Build Educational content,2026-04-20 02:29:43,share your rate,,"Research Writing, AI Tools, Research"
https://www.onlinejobs.ph/jobseekers/job/Fengshui-expert-Interior-Designer-1561422,Gig,Fengshui expert (Interior Designer),2026-04-20 02:29:43,share your rate,,"Architectural Services, Design"
https://www.onlinejobs.ph/jobseekers/job/SEO-Expert-1567631,Part Time,SEO Expert,2026-04-20 02:29:43,share your rate,,"SEO, Content Management, Keyword Research"
https://www.onlinejobs.ph/jobseekers/job/Researcher-Outline-writer-for-Youtube-videos-1599838,Full Time,Researcher & Outline writer for Youtube videos,2026-04-20 02:29:43,share your rate,,"Research Writing, Product Research, Research"
https://www.onlinejobs.ph/jobseekers/job/CRM-System-Builder-Gmail-1625225,Any,CRM System Builder (Gmail),2026-04-20 02:29:43,share your rate,,CRM
https://www.onlinejobs.ph/jobseekers/job/Sales-Representative-Commission-Based-Remote-1627392,Part Time,"Sales Representative (Commission-Based, Remote)",2026-04-20 02:29:01,$339/Month,,"Inbound Sales, Sales Support, Sales"
https://www.onlinejobs.ph/jobseekers/job/VAemail-marketingvideo-editorfamiliar-with-Warriorplusjvzoo-1627391,Full Time,VA/email marketing/video editor/familiar with Warriorplus/jvzoo,2026-04-20 02:28:11,,,"Email Marketing, Video Editing, Virtual Assistant"
https://www.onlinejobs.ph/jobseekers/job/Inbound-Sales-Customer-Support-Phone-Text-1627390,Full Time,Inbound Sales & Customer Support (Phone + Text),2026-04-20 02:25:40,$800-$1200,,"Phone Support, Sales Support, Customer Service"
https://www.onlinejobs.ph/jobseekers/job/Social-Media-Video-Editor-VA-TikTok-Reels-Content-Posting-1627317,Part Time,Social Media Video Editor & VA (TikTok / Reels / Content Posting),2026-04-20 02:12:05,$3.5,,"Social Media Content Creation, Video Content Creation, Social Media Video Editing"
https://www.onlinejobs.ph/jobseekers/job/AI-Video-Creator-Claymation-Style-Supplement-Marketing-1627406,Gig,AI Video Creator (Claymation Style) – Supplement Marketing,2026-04-20 03:13:31,$25,,
https://www.onlinejobs.ph/jobseekers/job/VA-Data-Structuring-Visualization-Miro-Preferred-1627405,Any,VA / Data Structuring & Visualization (Miro Preferred),2026-04-20 03:12:17,$400 per month,,"Data Entry, Data Visualization, Virtual Assistant"
https://www.onlinejobs.ph/jobseekers/job/AI-Editor-1608006,Full Time,AI Editor,2026-04-20 03:10:34,USD 5.00 / HOUR,,
https://www.onlinejobs.ph/jobseekers/job/Instagram-Manager-1608001,Full Time,Instagram Manager,2026-04-20 03:10:31,USD 2.50 / HOUR,,
https://www.onlinejobs.ph/jobseekers/job/Amazon-sourcer-1627404,Part Time,Amazon sourcer,2026-04-20 03:10:30,$2/h,,"Seller Central, Keepa, Seller Amp SAS"
https://www.onlinejobs.ph/jobseekers/job/E-commerce-Product-Page-Optimization-Specialist-Conversion-Focused-1627403,Any,E-commerce Product Page Optimization Specialist (Conversion-Focused),2026-04-20 03:04:46,$700 per month,,"E-Commerce, Product Analysis, Product Optimization"
https://www.onlinejobs.ph/jobseekers/job/Web-Crawler-designer-24420,Freelance,Web Crawler designer,2026-04-20 03:00:39,depending on experience,,
https://www.onlinejobs.ph/jobseekers/job/Trading-Assistant-1601520,Full Time,Trading Assistant,2026-04-20 02:57:32,400,,
https://www.onlinejobs.ph/jobseekers/job/AI-Reel-Creator-1617554,Full Time,AI Reel Creator,2026-04-20 02:57:32,350,,"Video Content Creation, Video Editing"
https://www.onlinejobs.ph/jobseekers/job/Photo-editing-expert-E-commerce-1627401,Any,Photo editing expert / E-commerce,2026-04-20 02:55:07,$700 per month,,"E-Commerce, Photo Editing"
https://www.onlinejobs.ph/jobseekers/job/Part-Time-Graphic-Designer-1015-hrsweek-1621302,Part Time,Part-Time Graphic Designer (10–15 hrs/week),2026-04-20 02:54:24,450,,"Photoshop, Figma, Social Media Video Editing"
https://www.onlinejobs.ph/jobseekers/job/Claude-Design-Email-Designer-needed-1627396,Part Time,Claude Design Email Designer needed,2026-04-20 02:40:12,400 CAD/Month + BONUS,,"Graphic Design, AI Tools"
https://www.onlinejobs.ph/jobseekers/job/Motion-Designer-Video-Editor-for-YouTube-UI-Based-Explainer-Videos-Clean-SaaS-Style-1627395,Part Time,Motion Designer / Video Editor for YouTube (UI-Based Explainer Videos – Clean SaaS Style),2026-04-20 02:39:24,10,,
https://www.onlinejobs.ph/jobseekers/job/Ethical-Hacker-for-educational-videos-1534337,Part Time,Ethical Hacker (for educational videos),2026-04-20 02:29:43,share your rate,,Cybersecurity
https://www.onlinejobs.ph/jobseekers/job/AI-Expert-Build-Educational-content-1553619,Full Time,AI Expert - Build Educational content,2026-04-20 02:29:43,share your rate,,"Research Writing, AI Tools, Research"
https://www.onlinejobs.ph/jobseekers/job/Fengshui-expert-Interior-Designer-1561422,Gig,Fengshui expert (Interior Designer),2026-04-20 02:29:43,share your rate,,"Architectural Services, Design"
https://www.onlinejobs.ph/jobseekers/job/SEO-Expert-1567631,Part Time,SEO Expert,2026-04-20 02:29:43,share your rate,,"SEO, Content Management, Keyword Research"
https://www.onlinejobs.ph/jobseekers/job/Researcher-Outline-writer-for-Youtube-videos-1599838,Full Time,Researcher & Outline writer for Youtube videos,2026-04-20 02:29:43,share your rate,,"Research Writing, Product Research, Research"
https://www.onlinejobs.ph/jobseekers/job/CRM-System-Builder-Gmail-1625225,Any,CRM System Builder (Gmail),2026-04-20 02:29:43,share your rate,,CRM
https://www.onlinejobs.ph/jobseekers/job/Sales-Representative-Commission-Based-Remote-1627392,Part Time,"Sales Representative (Commission-Based, Remote)",2026-04-20 02:29:01,$339/Month,,"Inbound Sales, Sales Support, Sales"
https://www.onlinejobs.ph/jobseekers/job/VAemail-marketingvideo-editorfamiliar-with-Warriorplusjvzoo-1627391,Full Time,VA/email marketing/video editor/familiar with Warriorplus/jvzoo,2026-04-20 02:28:11,,,"Email Marketing, Video Editing, Virtual Assistant"
https://www.onlinejobs.ph/jobseekers/job/Inbound-Sales-Customer-Support-Phone-Text-1627390,Full Time,Inbound Sales & Customer Support (Phone + Text),2026-04-20 02:25:40,$800-$1200,,"Phone Support, Sales Support, Customer Service"
https://www.onlinejobs.ph/jobseekers/job/Social-Media-Video-Editor-VA-TikTok-Reels-Content-Posting-1627317,Part Time,Social Media Video Editor & VA (TikTok / Reels / Content Posting),2026-04-20 02:12:05,$3.5,,"Social Media Content Creation, Video Content Creation, Social Media Video Editing"
https://www.onlinejobs.ph/jobseekers/job/AI-Video-Creator-Claymation-Style-Supplement-Marketing-1627406,Gig,AI Video Creator (Claymation Style) – Supplement Marketing,2026-04-20 03:13:31,$25,,
https://www.onlinejobs.ph/jobseekers/job/VA-Data-Structuring-Visualization-Miro-Preferred-1627405,Any,VA / Data Structuring & Visualization (Miro Preferred),2026-04-20 03:12:17,$400 per month,,"Data Entry, Data Visualization, Virtual Assistant"
https://www.onlinejobs.ph/jobseekers/job/AI-Editor-1608006,Full Time,AI Editor,2026-04-20 03:10:34,USD 5.00 / HOUR,,
https://www.onlinejobs.ph/jobseekers/job/Instagram-Manager-1608001,Full Time,Instagram Manager,2026-04-20 03:10:31,USD 2.50 / HOUR,,
https://www.onlinejobs.ph/jobseekers/job/Amazon-sourcer-1627404,Part Time,Amazon sourcer,2026-04-20 03:10:30,$2/h,,"Seller Central, Keepa, Seller Amp SAS"
https://www.onlinejobs.ph/jobseekers/job/E-commerce-Product-Page-Optimization-Specialist-Conversion-Focused-1627403,Any,E-commerce Product Page Optimization Specialist (Conversion-Focused),2026-04-20 03:04:46,$700 per month,,"E-Commerce, Product Analysis, Product Optimization"
https://www.onlinejobs.ph/jobseekers/job/Web-Crawler-designer-24420,Freelance,Web Crawler designer,2026-04-20 03:00:39,depending on experience,,
https://www.onlinejobs.ph/jobseekers/job/Trading-Assistant-1601520,Full Time,Trading Assistant,2026-04-20 02:57:32,400,,
https://www.onlinejobs.ph/jobseekers/job/AI-Reel-Creator-1617554,Full Time,AI Reel Creator,2026-04-20 02:57:32,350,,"Video Content Creation, Video Editing"
https://www.onlinejobs.ph/jobseekers/job/Photo-editing-expert-E-commerce-1627401,Any,Photo editing expert / E-commerce,2026-04-20 02:55:07,$700 per month,,"E-Commerce, Photo Editing"
https://www.onlinejobs.ph/jobseekers/job/Part-Time-Graphic-Designer-1015-hrsweek-1621302,Part Time,Part-Time Graphic Designer (10–15 hrs/week),2026-04-20 02:54:24,450,,"Photoshop, Figma, Social Media Video Editing"
https://www.onlinejobs.ph/jobseekers/job/Claude-Design-Email-Designer-needed-1627396,Part Time,Claude Design Email Designer needed,2026-04-20 02:40:12,400 CAD/Month + BONUS,,"Graphic Design, AI Tools"
https://www.onlinejobs.ph/jobseekers/job/Motion-Designer-Video-Editor-for-YouTube-UI-Based-Explainer-Videos-Clean-SaaS-Style-1627395,Part Time,Motion Designer / Video Editor for YouTube (UI-Based Explainer Videos – Clean SaaS Style),2026-04-20 02:39:24,10,,
https://www.onlinejobs.ph/jobseekers/job/Ethical-Hacker-for-educational-videos-1534337,Part Time,Ethical Hacker (for educational videos),2026-04-20 02:29:43,share your rate,,Cybersecurity
https://www.onlinejobs.ph/jobseekers/job/AI-Expert-Build-Educational-content-1553619,Full Time,AI Expert - Build Educational content,2026-04-20 02:29:43,share your rate,,"Research Writing, AI Tools, Research"
https://www.onlinejobs.ph/jobseekers/job/Fengshui-expert-Interior-Designer-1561422,Gig,Fengshui expert (Interior Designer),2026-04-20 02:29:43,share your rate,,"Architectural Services, Design"
https://www.onlinejobs.ph/jobseekers/job/SEO-Expert-1567631,Part Time,SEO Expert,2026-04-20 02:29:43,share your rate,,"SEO, Content Management, Keyword Research"
https://www.onlinejobs.ph/jobseekers/job/Researcher-Outline-writer-for-Youtube-videos-1599838,Full Time,Researcher & Outline writer for Youtube videos,2026-04-20 02:29:43,share your rate,,"Research Writing, Product Research, Research"
https://www.onlinejobs.ph/jobseekers/job/CRM-System-Builder-Gmail-1625225,Any,CRM System Builder (Gmail),2026-04-20 02:29:43,share your rate,,CRM
https://www.onlinejobs.ph/jobseekers/job/Sales-Representative-Commission-Based-Remote-1627392,Part Time,"Sales Representative (Commission-Based, Remote)",2026-04-20 02:29:01,$339/Month,,"Inbound Sales, Sales Support, Sales"
https://www.onlinejobs.ph/jobseekers/job/VAemail-marketingvideo-editorfamiliar-with-Warriorplusjvzoo-1627391,Full Time,VA/email marketing/video editor/familiar with Warriorplus/jvzoo,2026-04-20 02:28:11,,,"Email Marketing, Video Editing, Virtual Assistant"
https://www.onlinejobs.ph/jobseekers/job/Inbound-Sales-Customer-Support-Phone-Text-1627390,Full Time,Inbound Sales & Customer Support (Phone + Text),2026-04-20 02:25:40,$800-$1200,,"Phone Support, Sales Support, Customer Service"
https://www.onlinejobs.ph/jobseekers/job/Social-Media-Video-Editor-VA-TikTok-Reels-Content-Posting-1627317,Part Time,Social Media Video Editor & VA (TikTok / Reels / Content Posting),2026-04-20 02:12:05,$3.5,,"Social Media Content Creation, Video Content Creation, Social Media Video Editing"
